buy_order,sell_order,trade_type,price,quantity,timestamp
BUY-1763965650520-000914,SELL-1763965655392-001170,EQUITY,282.36,73,2026-01-20 12:12:12.510881
BUY-1763965650526-004726,SELL-1763965655392-001170,EQUITY,282.36,9,2026-01-20 12:12:12.510886
BUY-1763965650523-002640,SELL-1763965655392-001387,CRYPTO,1813.15,5,2026-01-20 12:12:12.510895
BUY-1763965650523-002336,SELL-1763965655392-001387,CRYPTO,1813.15,5,2026-01-20 12:12:12.510900
BUY-1763965650522-002259,SELL-1763965655392-001387,CRYPTO,1813.15,2,2026-01-20 12:12:12.510905
BUY-1763965650527-005444,SELL-1763965655392-001387,CRYPTO,1813.15,6,2026-01-20 12:12:12.510909
BUY-1763965650527-005572,SELL-1763965655392-001387,CRYPTO,1813.15,4,2026-01-20 12:12:12.510915
BUY-1763965650527-005572,SELL-1763965655394-002086,CRYPTO,634.94,1,2026-01-20 12:12:12.510925
BUY-1763965650527-005690,SELL-1763965655394-002086,CRYPTO,634.94,6,2026-01-20 12:12:12.510929
BUY-1763965650525-003862,SELL-1763965655394-002086,CRYPTO,634.94,6,2026-01-20 12:12:12.510933
BUY-1763965650527-005734,SELL-1763965655394-002086,CRYPTO,634.94,5,2026-01-20 12:12:12.510938
BUY-1763965650526-004726,SELL-1763965655398-004272,EQUITY,205.15,172,2026-01-20 12:12:12.510953
BUY-1763965650526-004726,SELL-1763965655394-002360,EQUITY,339.18,17,2026-01-20 12:12:12.510963
BUY-1763965650522-002200,SELL-1763965655394-002360,EQUITY,339.18,20,2026-01-20 12:12:12.510968
BUY-1763965650529-007360,SELL-1763965655394-002360,EQUITY,339.18,43,2026-01-20 12:12:12.510972
BUY-1763965650528-005903,SELL-1763965655394-002360,EQUITY,339.18,6,2026-01-20 12:12:12.510976
BUY-1763965650528-006198,SELL-1763965655394-002360,EQUITY,339.18,53,2026-01-20 12:12:12.510981
BUY-1763965650529-006796,SELL-1763965655394-002360,EQUITY,339.18,21,2026-01-20 12:12:12.510986
BUY-1763965650525-004354,SELL-1763965655394-002360,EQUITY,339.18,42,2026-01-20 12:12:12.510990
BUY-1763965650529-006956,SELL-1763965655394-002360,EQUITY,339.18,86,2026-01-20 12:12:12.510994
BUY-1763965650529-007439,SELL-1763965655396-003491,FOREX,7.25,709,2026-01-20 12:12:12.511004
BUY-1763965650521-001134,SELL-1763965655396-003491,FOREX,7.25,32,2026-01-20 12:12:12.511008
BUY-1763965650527-005734,SELL-1763965655396-003300,CRYPTO,2361.18,2,2026-01-20 12:12:12.511019
BUY-1763965650529-007214,SELL-1763965655396-003300,CRYPTO,2361.18,1,2026-01-20 12:12:12.511023
BUY-1763965650520-000727,SELL-1763965655396-003300,CRYPTO,2361.18,4,2026-01-20 12:12:12.511027
BUY-1763965650526-005069,SELL-1763965655396-003300,CRYPTO,2361.18,8,2026-01-20 12:12:12.511032
BUY-1763965650521-001134,SELL-1763965655392-001361,FOREX,7.25,65,2026-01-20 12:12:12.511041
BUY-1763965650527-005522,SELL-1763965655392-001361,FOREX,7.25,39,2026-01-20 12:12:12.511046
BUY-1763965650525-004112,SELL-1763965655392-001361,FOREX,7.25,267,2026-01-20 12:12:12.511052
BUY-1763965650521-001557,SELL-1763965655392-001361,FOREX,7.25,231,2026-01-20 12:12:12.511057
BUY-1763965650521-001557,SELL-1763965655392-001184,FOREX,7.98,575,2026-01-20 12:12:12.511065
BUY-1763965650522-001754,SELL-1763965655392-001184,FOREX,7.98,41,2026-01-20 12:12:12.511071
BUY-1763965650528-006392,SELL-1763965655392-001184,FOREX,7.98,43,2026-01-20 12:12:12.511075
BUY-1763965650524-003541,SELL-1763965655396-003348,CRYPTO,1357.26,3,2026-01-20 12:12:12.511084
BUY-1763965650526-004635,SELL-1763965655396-003348,CRYPTO,1357.26,9,2026-01-20 12:12:12.511089
BUY-1763965650520-000883,SELL-1763965655396-003348,CRYPTO,1357.26,1,2026-01-20 12:12:12.511093
BUY-1763965650521-001215,SELL-1763965655396-003348,CRYPTO,1357.26,10,2026-01-20 12:12:12.511097
BUY-1763965650529-006869,SELL-1763965655396-003348,CRYPTO,1357.26,6,2026-01-20 12:12:12.511101
BUY-1763965650525-003887,SELL-1763965655397-003532,CRYPTO,410.14,10,2026-01-20 12:12:12.511114
BUY-1763965650522-001996,SELL-1763965655397-003532,CRYPTO,410.14,1,2026-01-20 12:12:12.511118
BUY-1763965650524-003362,SELL-1763965655397-003532,CRYPTO,410.14,5,2026-01-20 12:12:12.511123
BUY-1763965650524-003544,SELL-1763965655397-003532,CRYPTO,410.14,2,2026-01-20 12:12:12.511127
BUY-1763965650522-001655,SELL-1763965655397-003532,CRYPTO,410.14,8,2026-01-20 12:12:12.511131
BUY-1763965650528-006088,SELL-1763965655397-003532,CRYPTO,410.14,10,2026-01-20 12:12:12.511136
BUY-1763965650529-006918,SELL-1763965655397-003532,CRYPTO,410.14,8,2026-01-20 12:12:12.511141
BUY-1763965650527-005719,SELL-1763965655397-003532,CRYPTO,410.14,9,2026-01-20 12:12:12.511145
BUY-1763965650527-005329,SELL-1763965655397-003532,CRYPTO,410.14,2,2026-01-20 12:12:12.511149
BUY-1763965650525-003731,SELL-1763965655397-003532,CRYPTO,410.14,2,2026-01-20 12:12:12.511154
BUY-1763965650521-001565,SELL-1763965655397-003532,CRYPTO,410.14,4,2026-01-20 12:12:12.511158
BUY-1763965650526-004680,SELL-1763965655397-003532,CRYPTO,410.14,5,2026-01-20 12:12:12.511163
BUY-1763965650528-006377,SELL-1763965655397-003532,CRYPTO,410.14,5,2026-01-20 12:12:12.511167
BUY-1763965650528-006627,SELL-1763965655397-003532,CRYPTO,410.14,2,2026-01-20 12:12:12.511171
BUY-1763965650529-006713,SELL-1763965655397-003532,CRYPTO,410.14,9,2026-01-20 12:12:12.511175
BUY-1763965650524-003359,SELL-1763965655397-003532,CRYPTO,410.14,10,2026-01-20 12:12:12.511180
BUY-1763965650523-002475,SELL-1763965655397-003532,CRYPTO,410.14,7,2026-01-20 12:12:12.511184
BUY-1763965650529-006956,SELL-1763965655398-004248,EQUITY,95.53,5,2026-01-20 12:12:12.511193
BUY-1763965650520-000757,SELL-1763965655398-004248,EQUITY,95.53,184,2026-01-20 12:12:12.511198
BUY-1763965650523-002878,SELL-1763965655398-004248,EQUITY,95.53,200,2026-01-20 12:12:12.511203
BUY-1763965650527-005750,SELL-1763965655398-004248,EQUITY,95.53,61,2026-01-20 12:12:12.511208
BUY-1763965650526-004607,SELL-1763965655398-004248,EQUITY,95.53,26,2026-01-20 12:12:12.511213
BUY-1763965650528-006392,SELL-1763965655398-004185,FOREX,3.83,67,2026-01-20 12:12:12.511222
BUY-1763965650524-003246,SELL-1763965655398-004185,FOREX,3.83,10,2026-01-20 12:12:12.511227
BUY-1763965650523-002475,SELL-1763965655395-002964,CRYPTO,3146.22,3,2026-01-20 12:12:12.511236
BUY-1763965650525-003909,SELL-1763965655395-002964,CRYPTO,3146.22,1,2026-01-20 12:12:12.511240
BUY-1763965650520-000895,SELL-1763965655395-002964,CRYPTO,3146.22,9,2026-01-20 12:12:12.511245
BUY-1763965650529-007423,SELL-1763965655395-002964,CRYPTO,3146.22,1,2026-01-20 12:12:12.511249
BUY-1763965650529-007423,SELL-1763965655398-004267,CRYPTO,1045.59,6,2026-01-20 12:12:12.511264
BUY-1763965650526-004844,SELL-1763965655398-004267,CRYPTO,1045.59,3,2026-01-20 12:12:12.511269
BUY-1763965650523-002731,SELL-1763965655398-004267,CRYPTO,1045.59,10,2026-01-20 12:12:12.511273
BUY-1763965650522-002108,SELL-1763965655398-004267,CRYPTO,1045.59,8,2026-01-20 12:12:12.511278
BUY-1763965650524-002997,SELL-1763965655398-004267,CRYPTO,1045.59,2,2026-01-20 12:12:12.511282
BUY-1763965650529-007067,SELL-1763965655398-004267,CRYPTO,1045.59,2,2026-01-20 12:12:12.511286
BUY-1763965650527-005767,SELL-1763965655398-004267,CRYPTO,1045.59,1,2026-01-20 12:12:12.511292
BUY-1763965650526-004607,SELL-1763965655394-002305,EQUITY,126.83,158,2026-01-20 12:12:12.511301
BUY-1763965650527-005711,SELL-1763965655394-002305,EQUITY,126.83,47,2026-01-20 12:12:12.511308
BUY-1763965650529-007189,SELL-1763965655394-002305,EQUITY,126.83,48,2026-01-20 12:12:12.511314
BUY-1763965650524-003509,SELL-1763965655394-002305,EQUITY,126.83,18,2026-01-20 12:12:12.511321
BUY-1763965650529-007283,SELL-1763965655394-002305,EQUITY,126.83,13,2026-01-20 12:12:12.511326
BUY-1763965650529-007283,SELL-1763965655394-001956,EQUITY,172.96,157,2026-01-20 12:12:12.511337
BUY-1763965650525-004310,SELL-1763965655394-001956,EQUITY,172.96,14,2026-01-20 12:12:12.511342
BUY-1763965650520-000786,SELL-1763965655394-001956,EQUITY,172.96,196,2026-01-20 12:12:12.511346
BUY-1763965650524-003662,SELL-1763965655394-001956,EQUITY,172.96,7,2026-01-20 12:12:12.511351
BUY-1763965650524-003662,SELL-1763965655396-003333,EQUITY,329.68,55,2026-01-20 12:12:12.511359
BUY-1763965650525-003711,SELL-1763965655396-003333,EQUITY,329.68,24,2026-01-20 12:12:12.511364
BUY-1763965650527-005767,SELL-1763965655395-002488,CRYPTO,3745.04,2,2026-01-20 12:12:12.511373
BUY-1763965650525-003771,SELL-1763965655395-002488,CRYPTO,3745.04,2,2026-01-20 12:12:12.511377
BUY-1763965650519-000576,SELL-1763965655395-002488,CRYPTO,3745.04,5,2026-01-20 12:12:12.511382
BUY-1763965650525-003711,SELL-1763965655397-003602,EQUITY,322.91,55,2026-01-20 12:12:12.511391
BUY-1763965650522-001671,SELL-1763965655397-003602,EQUITY,322.91,5,2026-01-20 12:12:12.511395
BUY-1763965650522-001715,SELL-1763965655397-003602,EQUITY,322.91,168,2026-01-20 12:12:12.511400
BUY-1763965650519-000576,SELL-1763965655398-004241,CRYPTO,134.51,5,2026-01-20 12:12:12.511409
BUY-1763965650522-001689,SELL-1763965655398-004241,CRYPTO,134.51,10,2026-01-20 12:12:12.511414
BUY-1763965650519-000520,SELL-1763965655398-004241,CRYPTO,134.51,5,2026-01-20 12:12:12.511418
BUY-1763965650523-002827,SELL-1763965655398-004241,CRYPTO,134.51,1,2026-01-20 12:12:12.511422
BUY-1763965650526-004751,SELL-1763965655398-004241,CRYPTO,134.51,6,2026-01-20 12:12:12.511427
BUY-1763965650525-004201,SELL-1763965655398-004241,CRYPTO,134.51,1,2026-01-20 12:12:12.511431
BUY-1763965650526-004932,SELL-1763965655398-004241,CRYPTO,134.51,6,2026-01-20 12:12:12.511435
BUY-1763965650524-003583,SELL-1763965655398-004241,CRYPTO,134.51,5,2026-01-20 12:12:12.511440
BUY-1763965650522-002134,SELL-1763965655398-004241,CRYPTO,134.51,7,2026-01-20 12:12:12.511444
BUY-1763965650526-004960,SELL-1763965655398-004241,CRYPTO,134.51,1,2026-01-20 12:12:12.511448
BUY-1763965650526-004446,SELL-1763965655398-004241,CRYPTO,134.51,7,2026-01-20 12:12:12.511453
BUY-1763965650523-002535,SELL-1763965655398-004241,CRYPTO,134.51,7,2026-01-20 12:12:12.511457
BUY-1763965650527-005134,SELL-1763965655398-004241,CRYPTO,134.51,8,2026-01-20 12:12:12.511462
BUY-1763965650523-002865,SELL-1763965655398-004241,CRYPTO,134.51,11,2026-01-20 12:12:12.511466
BUY-1763965650525-004195,SELL-1763965655398-004241,CRYPTO,134.51,9,2026-01-20 12:12:12.511471
BUY-1763965650522-002173,SELL-1763965655398-004241,CRYPTO,134.51,3,2026-01-20 12:12:12.511475
BUY-1763965650524-003634,SELL-1763965655398-004241,CRYPTO,134.51,2,2026-01-20 12:12:12.511480
BUY-1763965650528-006495,SELL-1763965655398-004241,CRYPTO,134.51,10,2026-01-20 12:12:12.511484
BUY-1763965650525-004369,SELL-1763965655398-004241,CRYPTO,134.51,2,2026-01-20 12:12:12.511489
BUY-1763965650527-005364,SELL-1763965655398-004241,CRYPTO,134.51,9,2026-01-20 12:12:12.511493
BUY-1763965650522-001785,SELL-1763965655398-004241,CRYPTO,134.51,4,2026-01-20 12:12:12.511497
BUY-1763965650528-006414,SELL-1763965655398-004241,CRYPTO,134.51,10,2026-01-20 12:12:12.511502
BUY-1763965650522-001838,SELL-1763965655398-004241,CRYPTO,134.51,2,2026-01-20 12:12:12.511506
BUY-1763965650524-003473,SELL-1763965655398-004241,CRYPTO,134.51,5,2026-01-20 12:12:12.511510
BUY-1763965650526-004536,SELL-1763965655398-004241,CRYPTO,134.51,2,2026-01-20 12:12:12.511514
BUY-1763965650527-005747,SELL-1763965655398-004241,CRYPTO,134.51,1,2026-01-20 12:12:12.511519
BUY-1763965650522-001977,SELL-1763965655398-004241,CRYPTO,134.51,5,2026-01-20 12:12:12.511523
BUY-1763965650527-005418,SELL-1763965655398-004241,CRYPTO,134.51,6,2026-01-20 12:12:12.511528
BUY-1763965650528-006429,SELL-1763965655398-004241,CRYPTO,134.51,9,2026-01-20 12:12:12.511532
BUY-1763965650528-006306,SELL-1763965655398-004241,CRYPTO,134.51,8,2026-01-20 12:12:12.511536
BUY-1763965650521-001562,SELL-1763965655398-004241,CRYPTO,134.51,1,2026-01-20 12:12:12.511541
BUY-1763965650525-003777,SELL-1763965655398-004241,CRYPTO,134.51,7,2026-01-20 12:12:12.511558
BUY-1763965650523-002354,SELL-1763965655398-004241,CRYPTO,134.51,4,2026-01-20 12:12:12.511562
BUY-1763965650525-004011,SELL-1763965655398-004241,CRYPTO,134.51,10,2026-01-20 12:12:12.511567
BUY-1763965650527-005540,SELL-1763965655398-004241,CRYPTO,134.51,9,2026-01-20 12:12:12.511571
BUY-1763965650529-007483,SELL-1763965655398-004241,CRYPTO,134.51,6,2026-01-20 12:12:12.511575
BUY-1763965650527-005425,SELL-1763965655398-004241,CRYPTO,134.51,4,2026-01-20 12:12:12.511579
BUY-1763965650525-004056,SELL-1763965655398-004241,CRYPTO,134.51,4,2026-01-20 12:12:12.511584
BUY-1763965650525-004056,SELL-1763965655391-000793,CRYPTO,4041.08,1,2026-01-20 12:12:12.511594
BUY-1763965650525-003727,SELL-1763965655391-000793,CRYPTO,4041.08,4,2026-01-20 12:12:12.511599
BUY-1763965650524-003246,SELL-1763965655394-001992,FOREX,7.31,65,2026-01-20 12:12:12.511610
BUY-1763965650524-003246,SELL-1763965655394-001960,FOREX,2.43,48,2026-01-20 12:12:12.511619
BUY-1763965650524-003246,SELL-1763965655398-004425,FOREX,7.27,19,2026-01-20 12:12:12.511628
BUY-1763965650528-006058,SELL-1763965655398-004425,FOREX,7.27,579,2026-01-20 12:12:12.511633
BUY-1763965650521-001405,SELL-1763965655398-004425,FOREX,7.27,38,2026-01-20 12:12:12.511638
BUY-1763965650521-001405,SELL-1763965655392-001271,FOREX,5.92,708,2026-01-20 12:12:12.511647
BUY-1763965650521-001437,SELL-1763965655392-001271,FOREX,5.92,5,2026-01-20 12:12:12.511652
BUY-1763965650521-001437,SELL-1763965655397-003875,FOREX,7.0,508,2026-01-20 12:12:12.511660
BUY-1763965650525-003727,SELL-1763965655392-001174,CRYPTO,4839.36,4,2026-01-20 12:12:12.511670
BUY-1763965650521-001437,SELL-1763965655393-001488,FOREX,9.46,48,2026-01-20 12:12:12.511681
BUY-1763965650521-001519,SELL-1763965655393-001488,FOREX,9.46,200,2026-01-20 12:12:12.511686
BUY-1763965650527-005249,SELL-1763965655393-001488,FOREX,9.46,230,2026-01-20 12:12:12.511691
BUY-1763965650527-005249,SELL-1763965655392-001028,FOREX,6.44,91,2026-01-20 12:12:12.511699
BUY-1763965650525-003763,SELL-1763965655392-001028,FOREX,6.44,376,2026-01-20 12:12:12.511705
BUY-1763965650528-006624,SELL-1763965655392-001028,FOREX,6.44,60,2026-01-20 12:12:12.511709
BUY-1763965650527-005638,SELL-1763965655392-001028,FOREX,6.44,459,2026-01-20 12:12:12.511714
BUY-1763965650527-005638,SELL-1763965655390-000089,FOREX,2.0,70,2026-01-20 12:12:12.511728
BUY-1763965650522-001715,SELL-1763965655391-000800,EQUITY,115.23,8,2026-01-20 12:12:12.511737
BUY-1763965650526-004905,SELL-1763965655391-000800,EQUITY,115.23,29,2026-01-20 12:12:12.511742
BUY-1763965650524-003316,SELL-1763965655391-000800,EQUITY,115.23,93,2026-01-20 12:12:12.511746
BUY-1763965650525-004205,SELL-1763965655391-000800,EQUITY,115.23,24,2026-01-20 12:12:12.511751
BUY-1763965650527-005550,SELL-1763965655391-000800,EQUITY,115.23,95,2026-01-20 12:12:12.511756
BUY-1763965650523-002834,SELL-1763965655391-000800,EQUITY,115.23,112,2026-01-20 12:12:12.511760
BUY-1763965650525-004200,SELL-1763965655391-000800,EQUITY,115.23,6,2026-01-20 12:12:12.511764
BUY-1763965650528-006101,SELL-1763965655391-000800,EQUITY,115.23,139,2026-01-20 12:12:12.511769
BUY-1763965650527-005632,SELL-1763965655391-000800,EQUITY,115.23,112,2026-01-20 12:12:12.511773
BUY-1763965650525-004001,SELL-1763965655394-001951,CRYPTO,2901.4,4,2026-01-20 12:12:12.511782
BUY-1763965650521-001057,SELL-1763965655394-001951,CRYPTO,2901.4,4,2026-01-20 12:12:12.511787
BUY-1763965650521-001057,SELL-1763965655392-001174,CRYPTO,4839.36,6,2026-01-20 12:12:12.511791
BUY-1763965650527-005128,SELL-1763965655396-003246,CRYPTO,3476.4,3,2026-01-20 12:12:12.511802
BUY-1763965650527-005638,SELL-1763965655398-004274,FOREX,7.8,393,2026-01-20 12:12:12.511812
BUY-1763965650525-003942,SELL-1763965655398-004274,FOREX,7.8,401,2026-01-20 12:12:12.511817
BUY-1763965650525-003942,SELL-1763965655397-003938,FOREX,7.16,341,2026-01-20 12:12:12.511829
BUY-1763965650527-005632,SELL-1763965655397-003951,EQUITY,142.27,67,2026-01-20 12:12:12.511843
BUY-1763965650523-002583,SELL-1763965655397-003951,EQUITY,142.27,104,2026-01-20 12:12:12.511848
BUY-1763965650529-006684,SELL-1763965655397-003951,EQUITY,142.27,107,2026-01-20 12:12:12.511852
BUY-1763965650524-003154,SELL-1763965655397-003951,EQUITY,142.27,46,2026-01-20 12:12:12.511857
BUY-1763965650527-005135,SELL-1763965655397-003951,EQUITY,142.27,180,2026-01-20 12:12:12.511861
BUY-1763965650527-005511,SELL-1763965655397-003951,EQUITY,142.27,37,2026-01-20 12:12:12.511866
BUY-1763965650528-006461,SELL-1763965655397-003951,EQUITY,142.27,128,2026-01-20 12:12:12.511870
BUY-1763965650525-003942,SELL-1763965655393-001644,FOREX,3.24,1,2026-01-20 12:12:12.511880
BUY-1763965650527-005128,SELL-1763965655393-001923,CRYPTO,3650.94,1,2026-01-20 12:12:12.511889
BUY-1763965650527-005539,SELL-1763965655393-001923,CRYPTO,3650.94,4,2026-01-20 12:12:12.511894
BUY-1763965650527-005620,SELL-1763965655393-001923,CRYPTO,3650.94,3,2026-01-20 12:12:12.511898
BUY-1763965650528-006461,SELL-1763965655394-002414,EQUITY,215.06,10,2026-01-20 12:12:12.511908
BUY-1763965650526-004930,SELL-1763965655394-002414,EQUITY,215.06,9,2026-01-20 12:12:12.511912
BUY-1763965650524-003681,SELL-1763965655394-002414,EQUITY,215.06,102,2026-01-20 12:12:12.511918
BUY-1763965650528-006030,SELL-1763965655394-002414,EQUITY,215.06,177,2026-01-20 12:12:12.511922
BUY-1763965650522-001869,SELL-1763965655394-002414,EQUITY,215.06,101,2026-01-20 12:12:12.511926
BUY-1763965650524-003676,SELL-1763965655394-002414,EQUITY,215.06,3,2026-01-20 12:12:12.511931
BUY-1763965650527-005620,SELL-1763965655397-003633,CRYPTO,3381.94,4,2026-01-20 12:12:12.511940
BUY-1763965650529-007298,SELL-1763965655397-003633,CRYPTO,3381.94,3,2026-01-20 12:12:12.511945
BUY-1763965650529-007014,SELL-1763965655397-003633,CRYPTO,3381.94,5,2026-01-20 12:12:12.511949
BUY-1763965650529-007014,SELL-1763965655398-004227,CRYPTO,3947.49,1,2026-01-20 12:12:12.511958
